nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Marc,France,0,2019-10-13 00:00:00,Superbe,"L’hôtel est très agréable, le roof top génial. Chambres très belles et confortables.","Chambre vue mer très sympa (petit déjeuner sur le balcon vaut le coup) mais la nuit on entend un peu trop la circulation même avec les fenêtres (doubles) fermées.
Enregistrement un peu long (45mn d’attente) ce qui est inhabituel pour ce type d’hôtel.","8,8",Hôtel,Nice," 8,0 "
Jean,France,0,2019-10-07 00:00:00,"bien pour se reposer ,mais un peu loin du centre et un peu cher pour des prestations classiques","TROP CLASSIQUE , un peu triste à l'intérieur et envahi de pigeons voraces à l'extérieur§","GROS HÔTEL ""ANONYME""","7,0",Hôtel,Nice," 8,0 "
Jean-paul,Canada,0,2019-10-02 00:00:00,très belle expérience en général,"le comfort ,l'hospitalité du personnel la qualité du resto","un peu loin des activités et des resto 
les deux lit un peu petit et trop rapprocher l'un de l'autre
le commutateur de la salle de bain est à l'extérieur pas pratique la nuit pour l'autre personne qui dort","9,2",Hôtel,Nice," 8,0 "
Mohamed,Maroc,0,2019-10-02 00:00:00,Excellent hotel pour un séjour d’affairea,Tres comfortable. Tres propre.,Un peu impersonnel,"9,2",Hôtel,Nice," 8,0 "
Laura,Belgique,0,2019-09-18 00:00:00,Bel hôtel mais personnel peu souriant,"La chambre était belle avec une déco moderne et contemporaine, très lumineuse. Belle salle de bain. 
Les pâtes à la truffe de leur restaurant étaient succulentes. Le rooftop est arboré de la piscine, du bar et du restaurant avec vue superbe sur la promenade des Anglais et l'océan. Amateur des décollages d'avion, vous serez ravis d'en observer toutes les 2 minutes.","L'accueil a été froid, pas d'explication sur notre chambre ni l'établissement en détail… Le réceptionniste ne parlait pas très fort et n'était pas du tout souriant. Pas d'attention particulière pour notre passage à l'occasion de notre voyage de noces à part une bouteille d'eau plate et d'eau pétillante offertes ainsi qu'une lettre de félicitations. On aurait espéré une vue mer avec un balcon étant donné le prix pour la chambre supérieure réservée…
Petit déjeuner pas mal mais trop bruyant, trop de gens.","6,7",Hôtel,Nice," 8,0 "
Joël,France,0,2019-09-18 00:00:00,Agréable.,L'emplacement. La Chambre.,L'accueil.,"9,2",Hôtel,Nice," 8,0 "
Mohamed,France,0,2019-09-16 00:00:00,Agréable sauf que 32euros de parking PAR JOURS VU LE PRIX DE CHAMBRES CELA DEVRAIS ÊTRE INCLUS,None,"Le parking devrait être gratuit pour les clients !
32 euros par jours c'est honteux !!!!!!!!!","6,7",Hôtel,Nice," 8,0 "
Mireille,France,0,2019-09-03 00:00:00,Très bon séjour dans un très bel hôtel,Nous avions un vol très tôt le matin avec une arrivée a l hôtel a 8hrs.L hôtel a mis directement notre chambre a disposition et ce fut très appréciable.,None,"7,9",Hôtel,Nice," 8,0 "
Muriel,Suisse,0,2019-09-02 00:00:00,Agreable,Bon petit déjeuner,Le fait de payer en plus la plage privee. Je pensais que cette prestation était une prestation de l'hôtel sans frais,"7,1",Hôtel,Nice," 8,0 "
Germain,Guadeloupe,0,2019-08-27 00:00:00,Superbe,None,Le prix des boissons au bar trop élevé,"8,8",Hôtel,Nice," 8,0 "
Body,France,0,2019-08-23 00:00:00,Bien mais un peu déçue du rapport qualité-prix,"La terrasse et les équipements de l'hôtel (spa,restaurant, piscine,taille des chambres)",Plage privée payante pour les clients de l'hôtel !,"8,3",Hôtel,Nice," 8,0 "
