nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Pascal,France,0,2019-01-28,Très bien,"Le calme
Proche de montparnas","La propreter moyen 
mais vite resolue.
Ensemble propre tout de meme","8,3",Hôtel,Paris," 8,0 "
Catherine,France,0,2019-01-03,Bien ,"Le personnel très gentil et le confort du lit , hôtel propre .","La chaleur excessive, trop pour la nuit. La qualité des travaux qui apparemment viennent d être faits ne donne pas des étoiles de plus ....assez cheap","7,5",Hôtel,Paris," 8,0 "
Orlane,France,0,2019-01-01,Bien ,"Le surclassement de la chambre offert à notre arrivée, le grand lit, l’accueil",Chambres à côté assez bruyante avec un chien.,"7,9",Hôtel,Paris," 8,0 "
Martine,France,0,2018-12-15,Bonne surprise au détour d'un quartier animé..,Lit très confortable. Bon accueil. Calme. Très bien situé.,La température de la chambre beaucoup trop chaude.,"9,2",Hôtel,Paris," 8,0 "
Abdelhak,Belgique,0,2018-12-13,Superbe,"Personnel serviable. Lit confortable. Salle de bain très propre! 
Bon rapport qualité/prix.",None,"8,8",Hôtel,Paris," 8,0 "
Préscillia,France,0,2018-12-08,Très bien,None,"Établissement au top, confortable, le seul bémol, les sacs de linge (propre ou sale?) qui sont restés dans le couloir .","8,3",Hôtel,Paris," 8,0 "
Jacky,France,0,2018-12-01,Conforme à mas attentes et mes besoins,"L'emplacement à proximité de la gare Montparnasse.
Facilité d'accès à pied",None,"8,8",Hôtel,Paris," 8,0 "
Sylvie,France,0,2018-11-28,Agréable,"propre, bien chauffé, bonne luminosité","très mal isolé sur le plan sonore
on entendait +++ les voisins parler jusqu'à tard ds la nuit","6,7",Hôtel,Paris," 8,0 "
Jacques,Guadeloupe,0,2018-11-27,Bien ,situation - confort,pas de bagagerie,"7,5",Hôtel,Paris," 8,0 "
Patrick,France,0,2018-11-17,Très bien,Les équipements,Le petit déjeuner pas à la hauteur et l insonorisation des chambres !!!,"8,3",Hôtel,Paris," 8,0 "
