nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Jean,France,0,2019-06-19 00:00:00,Passable,Accueil du soir médiocre,None,"5,0",Hôtel,Toulouse," 7,5 "
Carole,France,0,2019-06-12 00:00:00,Décevant,"- L’emplacement mais je m’attendais à mieux .. 1,5 km environ du centre de Toulouse, tout peut se faire a pieds , inutile de s’attarder sur le métro ou autre transport car +1km de l’hôtel donc autant finir à pieds.. et le quartier n’est pas très bien fréquenté","- Nous avons loué une chambre pour 2 adultes et 1 enfant. 
il faut savoir qu’ils ne font pas les lits d’appoint et lit superposé (c’est une chose mais de défaire le lit qu’on fait alors qu’on passe 2 jours dans la chambre... c’est autre chose ! ) 
- nous n’avions de d’oreiller pour le lit superposé 
- de plus se faire réveiller à 9h par la femme de ménage alors que nous disposons de la chambre jusqu’à 12h... sans excuse, c’est moyen!!
Et la porte claquée toutes les 5 minutes de 8h30 a 10h pourrait être évité je pense ! 
- petit déjeuner prix excessifs pour ce qu’il y a ..
Bref je ne recommande pas cet hôtel!","4,2",Hôtel,Toulouse," 7,5 "
Sophie,France,0,2019-05-31 00:00:00,Décevant,la situation géographique près du centre ville,"Le confort des chambres est sommaire : pas de sèche-cheveux, serviettes de toilette trop fines, petit savon au lieu de savon liquide, papier toilette de mauvaise qualité, pas de placard, lits jumeaux très étroits, petit déjeuner sommaire avec peu de choix, jus d'orange et café limites imbuvables une partie du personnel peu aimable","4,2",Hôtel,Toulouse," 7,5 "
Damien,France,0,2019-05-22 00:00:00,Décevant,None,"Chambre pas propre (poussière et saletés au sol)
Chasse d’eau qui fuit donc obligé de couper le robinet d’arrivee d’eau. 
2 serviettes essuie mains mais pas de serviette de douche.","4,2",Hôtel,Toulouse," 7,5 "
G,France,0,2019-05-12 00:00:00,"Y aller pour dépannage, pas pour le confort et encore moins le romantisme.",None,"Chambre glauque. Araignées sous la couette dans le lit. Chambre éclairée par la lumière du couloir la nuit qui passe à travers la porte. Aucune insonorisation, bagarre cris et insultes dans une chambre voisine de 21h à 2h du matin avant que quelqu'un n'intervienne. Petit déjeuné correct mais pas du tout incroyable comme dit dans les avis.","4,6",Hôtel,Toulouse," 7,5 "
Eric,France,0,2019-04-18 00:00:00,Décevant,"Hôtel bien situé par rapport au centre de Toulouse et de la gare.
Le petit-déjeuner est classique, mais correct.","Chambre moyennement propre, sentant la cigarette ce qui est pour moi un non sens pour un établissement sensé être non fumeur. Sinon, réveil brutal à minuit par une bande de jeunes qui s'amusaient à se pousuivre dans les couloirs.
Je ne conseille pas cet établissement.","4,2",Hôtel,Toulouse," 7,5 "
Jessica,France,0,2019-04-18 00:00:00,Décevant,None,Chambre très sale la peinture ainsi que odeur super désagréable.,"4,2",Hôtel,Toulouse," 7,5 "
Stéphanie,France,0,2019-04-17 00:00:00,Passable,None,Le lit enfant n’était pas fait et je trouve cela très désagréable à l’hotel on ne fait pas les lit sinon on prend une location,"5,0",Hôtel,Toulouse," 7,5 "
Emmanuel,Nouvelle-Calédonie,0,2019-04-08 00:00:00,Mauvaise nuit,None,Literie très inconfortable donc mauvaise nuit de sommeil,"5,0",Hôtel,Toulouse," 7,5 "
Hubert,France,0,2019-03-19 00:00:00,Passable,"PD OK
Emplacement OK","la propreté.
Cheveux sur la housse de couette
Cheveux collés sur la faïence de la douche","5,0",Hôtel,Toulouse," 7,5 "
Hassan,Maroc,0,2019-03-18 00:00:00,Décevant,L'emplacement,Le ménage n'a pas été fait ou incomplet ainsi pas de changement des serviettes,"4,6",Hôtel,Toulouse," 7,5 "
Fba,France,0,2019-03-08 00:00:00,Décevant,None,"Bruyant. Personne à l'accueil, il faut utiliser le téléphone de l'accueil et attendre assez longtemps pour réussir à avoir quelqu'un qui se déplace.
L'hôtel est proche de la gare mais vraiment loin du centre-ville","4,6",Hôtel,Toulouse," 7,5 "
Laurie,France,0,2019-03-04 00:00:00,Je n'y reviendrai pas,Je n'ai rien aimé de cet hôtel,"Bruyant, chambre moche et sale, personnel peu sympathique, mauvais rapport qualité prix","4,6",Hôtel,Toulouse," 7,5 "
Iridescentnight,France,0,2019-03-03 00:00:00,Déçu.,L’accueil était sympathique !,"L’hotel n’est pas à côté de la gare, pas très proche du centre, le quartier ne semble pas très sûr, le lit n’était pas très confortable et les draps grattaient..","4,2",Hôtel,Toulouse," 7,5 "
Dedede,France,0,2019-02-20 00:00:00,Déçu,None,Petit déjeuner très médiocre. Tres peu de choix. Réseau sanitaire bruyant. Odeur de poussière dans la chambre. Bruit désagréable de la femme de menage des 9h,"3,3",Hôtel,Toulouse," 7,5 "
Monique,France,0,2019-01-24 00:00:00,Je réserverai dans un autre hôtel,Oui croissants chauds mais pas grand choix,Le rangement pour les vêtements,"5,0",Hôtel,Toulouse," 7,5 "
Visiteur,France,0,2019-01-14 00:00:00,Décevant,None,IL Y AVAIS L ODEUR DES CIGARETTES DANS LA CHAMBRE? ET LA CHAMBRE SEMBLE NE PAS ETRE NETTOYE NI AERE,"4,2",Hôtel,Toulouse," 7,5 "
Celia,France,0,2019-01-10 00:00:00,Pa satisfaisant.,Le lit était confortable.,"On m'a fait une facture au mauvais nom et soit disant il ne pouvait pas changer le nom de la facture, il faisait froid dans la chambre et pour le prix de la chambre qui est assez cher ils pourrait faire un effort sur l'équipement.
La personne de l'accueil m'a dit également qu'il ne pouvait pas mefaire la monnaie quand je suis arrivé alors que je voulais prendre un petit truc à manger dans la machine mais le lendemain il a fait la monnaie à un client.","5,0",Hôtel,Toulouse," 7,5 "
Emmanuelle,France,0,2019-01-01 00:00:00,Séjour à ne pas refaire.,L’emplacement,L’état de la chambre ainsi que la propreté.,"3,8",Hôtel,Toulouse," 7,5 "
Weill,France,0,2018-12-28 00:00:00,None,Ce commentaire n'apparaît pas car il ne respecte pas notre charte.,None,"3,3",Hôtel,Toulouse," 7,5 "
Pierre,France,0,2018-12-08 00:00:00,hôtel pas reposant,None,"lits trop petit , inconfortables , pas de 2ème oreiller ! une serviette , petit déjeuné pauvre , pas de rangements ,rien pour poser sa valise , bref très moyen , hôtel vieillissant","4,2",Hôtel,Toulouse," 7,5 "
Toulouse,France,0,2018-11-28 00:00:00,Passable,hélas je n'ai pas pu annuler suffisamment tôt pour en dire quoique ce soit que j'aurais aimé.,"ce que je déplore c'est le nom ""Toulouse """"centre gare"""""""" .... dans ma représentation, sans me donner le temps de mieux lire l'adresse, j'endéduit à 2 pas de la gare, en effet, lorsque l'on quitte la gare toulouse matabiau 2 ibis sont immédiatement dans mon paysage visuel d'où ma ""Représentation mentale"" hors ce n'était ni l'un ni l'autre mais bien un 3ème établissement à 15mn à pieds, prenant le TGV de 5h50 j'ai pris l'option de modifier très tardivement mon hébergement pour un ibis donc proche de la gare ... j'ai dû régler les 2 notes","5,0",Hôtel,Toulouse," 7,5 "
Jean,France,0,2018-11-12 00:00:00,Séjour triste à l’h,Rien,Tout,"4,5",Hôtel,Toulouse," 7,5 "
Alphonse,France,0,2018-11-06 00:00:00,Décevant,Rien,L'éloignement de tout et même de la gare,"4,2",Hôtel,Toulouse," 7,5 "
Elodie,France,0,2018-11-03 00:00:00,Assez médiocre ,None,"J’ai réserver une chambre pour trois est le lit pour la troisième personne n’était même pas fait un peu abusé 
 Dans la salle de bain l’eau de la douche ne s’évacuent ai pas compliquer pour prendre sa douche","3,8",Hôtel,Toulouse," 7,5 "
Aimé,France,0,2018-10-30 00:00:00,Correct mais moyen,Le calme,Pas d'armoire. Pas de 2e drap pas de couverture,"5,0",Hôtel,Toulouse," 7,5 "
Munier,France,0,2018-10-27 00:00:00,Décevant,None,"seche cheveux
une serviette supplementaire
placard ou autre pour rangement vêtements","4,2",Hôtel,Toulouse," 7,5 "
Co,France,0,2018-10-15 00:00:00,Passable,"Le matelas confortable, le parking gratuit, la localisation","Manque de propreté, présence de poussière, cheveux, poils. Odeur de tabac avec brûlures au sol causées par cendre !","5,0",Hôtel,Toulouse," 7,5 "
Thoinet,France,0,2018-10-09 00:00:00,Passable,None,PAIEMENT DU PETIT DÉJEUNER A L 'AVANCE ainsi que la taxe de séjour,"5,0",Hôtel,Toulouse," 7,5 "
