nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Anonyme,France,0.0,2019-12-31 00:00:00,Agréable,None,"Pas de chargeur pour les téléphones 
On est en 2020
C obligatoire","6,7",Hôtel,Cannes," 7,6 "
Anonyme,France,0.0,2019-07-07 00:00:00,Bien ,None,"Manque d'étagères dans le placard pour poser pulls ,polos et chemises .
Pas de barre d'appui suffisante pour sortir de la baignoire , avec risque de chute.","7,1",Hôtel,Cannes," 7,6 "
Anonyme,Belgique,0.0,2019-06-17 00:00:00,Mauvais ... impossible de travailler,None,Wifi terrible ! Pas acceptabele,"7,5",Hôtel,Cannes," 7,6 "
Anonyme,France,0.0,2019-06-12 00:00:00,Bien ,"PETIT DEJEUNER TRES BIEN, EXTERIEUR AGREABLE.",None,"7,5",Hôtel,Cannes," 7,6 "
Anonyme,France,0.0,2019-01-01 00:00:00,Super hôtel qui nous surclasse sans le lui demander.,"Le cadre intérieur 
Le buffet du petit déjeuner 
La chambre : nous avons bénéficié d’un surclassement en chambre exécutive avec vue sur mer et balcon. 
Très propre. 
Bien équipé 
Facile d’accès 
Arrêt de bus à 40 m de l’hôtel 
Lit très large et confortable
Service thé, chocolat, café dans la chambre 
Les différents gel douche, shampoing et lait de corps de bonne facture 
Des chocolats offerts pour la nouvelle année,
Bref des hôtels comme vous en souhaiteriez plus souvent pour ce prix.",None,"8,8",Hôtel,Cannes," 7,6 "
Anonyme,France,0.0,2018-06-28 00:00:00,Weekend à Cannes,L'emplacement. le personnel.,La piscine est sale. Le petit-déjeuner est nul pour le prix,"7,5",Hôtel,Cannes," 7,6 "
Anonyme,France,0.0,2019-06-23 00:00:00,Exceptionnel,"Le petit-déjeuner, l accueil, la propreté, le fait d avoir été surclassé, la vue mer, la piscine","La couleur de la chambre 
Pas assez de produits de toilettes","9,6",Hôtel,Cannes," 7,6 "
Anonyme,France,0.0,2019-06-03 00:00:00,Super hôtel,"Bel endroit, belle vue ! Hôtel super que je recommanderais sûrement !",Tout était bien sauf les oreillers trop plats et au nombre de 3 pour 2 personnes !!,"9,2",Hôtel,Cannes," 7,6 "
Anonyme,France,0.0,2019-03-24 00:00:00,Ne merite pas son 4 étoile,"Emplacement un peu à l'écart du centre,calme.
La vue pour les chambre vue mer.","Le petit dejeuner n'est pas a la hauteur d'un 4* pour ceux qui ne mange pas de charcuterie, le 2eme jour il n'y avait meme pas de fromage.
Il y a le strict minimum en soin hygienique dans les chambres (shampoing,gel douche et lait corps) s'il vous manque quelque chose faut leur réclamer.
L'ascenseur était trés petit et la piscine ne donnait pas du tout envie de s'y baigner avec le fond vert.","5,8",Hôtel,Cannes," 7,6 "
Anonyme,France,0.0,2018-08-13 00:00:00,Excellent rapport prestation prix.,le personnel à l'accueil est souriant et très pro.Excellent rapport prestation/prix dans l'ensemble.,Le personnel du bar et un peu froid et pas très pro.,"9,2",Hôtel,Cannes," 7,6 "
