nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Caban,France,0,2018-07-23 00:00:00,Assez médiocre ,"pas de petit déjeuner avant 8h 30 le weekend. très. mal placer . si on et a pied on doit faire 2 km pour manger . pas de climatisation. douche boucher . j ai fait moi même le rebouchage 
. enfin je suppose que c est la rentabilité qui passe avant le confort des clients. point positif le personnel a ete tres genty et ne sont en aucun cas responsable de mes critiques. c est malheureusement a l image de notre monde d aujourd hui .",None,"3,8",Appart'hôtel,Nantes," 7,0 "
Maurice,Suisse,0,2018-07-22 00:00:00,fatigant,vaste et propre,"trop loin,
bruit de la voie rapide","5,0",Appart'hôtel,Nantes," 7,0 "
Sonia,France,0,2018-07-22 00:00:00,Appartement minable,Personnel agréable et bon petit déjeuner,"Appartement minable ! Au rez de chaussée, avec des meubles de recup ! Rideaux salles et vieux. Taches au plafond. Pas de climatisation. Portes de douche qui ne ferment pas.","3,3",Appart'hôtel,Nantes," 7,0 "
Sylvie,France,0,2018-07-16 00:00:00,Malgré l acceuil et l apparence du batiment j ai ete déçue par la prestation,"L espace était pratique, les dosettes de liquide vaisselle et de savon adaptées. Le petit déjeuner copieux.","Porté tachee à l interieur de la salle de bain . Chasse d eau non tirée après nettoyage siphon de la douche. Mur du séjour avec impacts. Pas de bouilloire pour faire un thé ou un café .
Pour la salle du petit dejeuner meme si le choix est large il est Dommage que ce soit du café soluble 
 et non au percolateur.
Matelas taché dans la chambre","5,0",Appart'hôtel,Nantes," 7,0 "
Jacky,France,0,2018-07-12 00:00:00,Bien,"La tille de la chambre, les équipements également. On n'avez plus accès avec notre carte en rentrant à minuit et on a eu un interlocuteur qui nous a fournit une carte de secours.","La propreté de l'appartement, la vaisselle etc....rien n'a été fait à notre arrivée et on a tout fait.","4,6",Appart'hôtel,Nantes," 7,0 "
Hugues,France,0,2018-07-12 00:00:00,"sale, repoussant et prise en charge des problèmes par la direction innexistant.",la taille de l'appartement,"Cafetière cassé
Vaisselle plus que sale (les verres collent au tiroir !)...
Spot cuisine qui clignote
Photo des bols moisis dans les tiroirs, et fond des tiroirs collants de graisses.
Forte odeur dans la salle de bain à notre arrivée
et pour couronner le tout : avons attendus vainement jusqu'à 9h15, l'ouverture de la réception (prévue et affichée à 9h) Sommes donc repartis en envoyant deux email à la résidence sans aucune réponse à ce jour. (il y a maintenant 6 jours !)","3,8",Appart'hôtel,Nantes," 7,0 "
Audrey,France,0,2018-07-07 00:00:00,Décevant,Joli de l'extérieur,"Logement très sale, ne pas regarder dans le détail","4,6",Appart'hôtel,Nantes," 7,0 "
Christophe,France,0,2018-07-06 00:00:00,help,None,chambre vétuste style année 70 et propreté plus que moyenne.. aucuns atout,"3,8",Appart'hôtel,Nantes," 7,0 "
D,France,0,2018-07-05 00:00:00,A EVITER TANT QUE L'ETABLISSEMENT N'AURA PAS ETE PROFONDEMENT RESTRUCTURE,SPACIEUX,"ETABLISSEMENT A RENOVER AU PLUS VITE.... 
CHAMBRE VIEILLISSANTE, LATTES MANQUANTES AU LIT (NOTRE FILLE A CHUTÉ À TRAVERS), INFILTRATIONS AU MUR SOUS FENETRE (TRACES SOMBRES), 
MANQUE TABLEAU AU MUR
MOISSISSURES DANS LE BAC DOUCHE, PORTE DOUCHE CASSEE, TRACE DE MEGOT DE CIGARETTE SUR WC (AVONS FAIT DES PHOTOS SI BESOIN)
VAISSELLE MANQUANTE..
PETIT DEJEUNER À 9 H 00 : PLUS AUCUNE VIENNOISERIE","3,8",Appart'hôtel,Nantes," 7,0 "
Fanta,France,0,2018-07-02 00:00:00,La deuxième fois que je suis aussi déçu d'un établissement sur booking,Le matelas.,"Les photos sont loin d'être à l'image de l'établissement. Les murs de la chambre étaient sales, le chauffe serviette poussiéreux. Toiles d'araignées en dessous du meubles TV et dans les coins du mur. La cuvette des toilettes abîmés.","5,0",Appart'hôtel,Nantes," 7,0 "
Kévin,France,0,2018-07-02 00:00:00,Assez médiocre ,None,"La propreté pas bonne, beaucoup trop de poussière et des toiles d'araignée...
Manque une climatisation car il faisait vraiment trop chaud dans la chambre","3,8",Appart'hôtel,Nantes," 7,0 "
Sylvie,France,0,2018-06-26 00:00:00,Pourquoi pas,L espace et les communs,L équipement de la chambre premium,"5,0",Appart'hôtel,Nantes," 7,0 "
Anonyme,France,0,2020-02-05 00:00:00,Bof,La gentillesse des femmes de chambre. La mise à disposition d'éponge et de torchon dans la chambre/appart.,La proximité avec un pylône électrique haute tension. Le manque de finition dans la chambre. L'accueil assez froid. Et l'emplacement n'était pas pratique pour nos trajets car il y a des embouteillages tout autour à nos heures pour aller travailler...,"5,0",Appart'hôtel,Nantes," 7,0 "
